title,operating_system,ram_memory,cpu_model,cpu_speed,price
Beelink,Windows 11 Pro,,AMD R Series,4.6 GHz,$799.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 11 Pro,16 GB,,4.4 GHz,$335.00
Beelink,Windows 11 Pro,16 GB,Ryzen 7 4800U,4.2 GHz,$559.00
Beelink,Windows 11 Pro,,Ryzen 7 4700U,4.1 GHz,$449.00
Beelink,Windows 11 Pro,,AMD Ryzen 7,4.1 GHz,$449.00
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
KAMRUI,Windows 11 Pro,16 GB,,4.2 GHz,$399.93
Beelink,Windows 11 Pro,,Ryzen 7 4800U,4.2 GHz,$639.00
Beelink,Windows 11 Pro,16 GB,,4.2 GHz,$549.00
Beelink,Windows 11 Pro,32 GB,Ryzen 9,4.4 GHz,$569.00
COOFUN,Windows 11 Pro,32 GB,,4.4 GHz,$764.99
Beelink,"Windows 11 Pro, Linux, Windows 10 Pro",,Ryzen 9,4.4 GHz,$569.00
Beelink,Windows 11,,AMD Ryzen 7,4.1,$449.00
Beelink,Windows 11 Pro,8 GB,,4.1,$299.00
ACEMAGICIAN,Windows 11 Pro,16 GB,,4.1,$499.00
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 11 Pro,,Ryzen 9,4.6 GHz,$729.99
Beelink,"Windows 11 Pro, Linux, Windows 10 Pro",,Ryzen 7 4700U,4.1 GHz,$449.00
Beelink,Windows 11 Pro,16 GB,AMD Ryzen 7,4 GHz,$449.00
HP,Windows 10 Pro,8 GB,Ryzen 5 2400GE,3800 Hz,$221.49
COOFUN,Windows 10,,Ryzen 5,3.7 GHz,$322.99
Beelink,Windows 11 Pro,,AMD Ryzen 7,4 GHz,$449.00
Beelink,Windows 11 Pro,16 GB,,4 GHz,$390.91
HP,Windows 10 Pro,8 GB,AMD R Series,3.2 GHz,$199.99
KODLIX,Windows 10,32 GB,Ryzen 9,3.3 GHz,$829.90
COOFUN,Windows 11 Pro,16 GB,,3.3 GHz,$349.99
Beelink,Windows 11 Pro,16 GB,Ryzen 7 4800U,4.2 GHz,$499.00
Beelink,Windows 11 Pro,,AMD Ryzen 7,4 GHz,$449.00
TRIGKEY,"Windows 11 Pro, Windows 10 Pro",8 GB,AMD R Series,3.5 GHz,$299.00
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 11 Pro,32 GB,,4.3 GHz,$764.99
Beelink,Windows 11 Pro,64 GB,AMD R Series,4.6 GHz,$799.00
Beelink,"Windows 11 Pro, Linux, Windows 10 Pro",16 GB,,4.6 GHz,$449.00
TRIGKEY,"Windows 11 Pro, Linux, Windows 10 Pro, Windows 11",16 GB,Ryzen 3 3200U,3.5 GHz,$349.00
Beelink,Windows 11 Pro,,AMD Ryzen 7,4 GHz,$389.00
Beelink,Windows 11 Pro,,Ryzen 7 4700U,4.1 GHz,$369.00
Beelink,Windows 11 Pro,,AMD Ryzen 7,4.2 GHz,$499.00
HP,Windows 11 Home,12 GB,,4.2 GHz,0
Beelink,Windows 11 Pro,,Ryzen 9,4.4 GHz,$483.65
ASUS,Windows 10,64 GB,,4.4 GHz,$299.99
GMKtec,Windows 11 Pro,,AMD Ryzen 7,4 GHz,$446.00
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.6 GHz,$730.99
Beelink,Windows 11 Pro,,Ryzen 3,3 GHz,$299.00
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,3 GHz,$399.00
COOFUN,Windows 10,,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 10 Pro,,Ryzen 3 3200U,3.5 GHz,$349.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
Beelink,Windows 11,,Ryzen 9,4.6 GHz,$949.00
Beelink,Windows 11 Pro,8 GB,Ryzen 3,3.5 GHz,$299.00
MINISFORUM,Windows 10 Home,32 GB,,3.5 GHz,0
ASUS,Windows 10,,Ryzen 7 5700U,1.8 GHz,$499.00
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,1.8 GHz,$399.00
ASUS,Windows 10,64 GB,,1.8 GHz,$388.01
COOFUN,Windows 11 Pro,,Ryzen 5,3.7 GHz,$305.99
Beelink,"Windows 11 Pro, Linux",32 GB,Ryzen 9,4.6 GHz,0
Beelink,Windows 11 Pro,16 GB,AMD Ryzen 7,4 GHz,$449.00
MINISFORUM,Windows 11,512 GB,,4 GHz,$620.41
ATOPNUC,Windows 11 Pro,16 GB,,4 GHz,$439.99
COOFUN,Windows 11 Pro,32 GB,Ryzen 9,4.2 GHz,$829.99
COOFUN,Windows 11 Pro,32 GB,,4.2 GHz,$764.99
CHUWI,Windows 11 Home,16 GB,,4.2 GHz,$649.00
AEROFARA,Windows 11 Pro,,Ryzen 5,4.2 GHz,$519.00
Lenovo,Windows 11 Pro,16 GB,,4.2 GHz,0
"HP Pavilion Desktop PC, AMD Ryzen 3 5300G, 4 GB RAM, 256 GB SSD, Windows 11 Home, Wi-Fi 5 & Bluetooth Connectivity, Wired Mouse and Keyboard Combo | Microsoft 365 Family 15-Month Subscription",,,,4.2 GHz,$542.01
ASUS,Windows 10,64 GB,,4.2 GHz,$473.39
ASUS,Windows 10 Pro,,Ryzen 7 4700U,2 GHz,$769.00
Beelink,Windows 11 Pro,16 GB,,2 GHz,$399.00
CHUWI,"Linux, Ubantu, Windows 11 Home, Windows 10",,AMD Ryzen 7,4 GHz,$389.00
TRIGKEY,"Windows 10 Pro, Linux-Ubantu, Windows 11",,Ryzen 7,4 GHz,$350.10
Skytech Gaming,Windows 10 Home,8 GB,,4 GHz,$799.99
Beelink,Windows 11 Pro,,Ryzen 3 3200U,2.6 GHz,$349.00
ASUS,No,1 MB,,2.6 GHz,$319.11
COOFUN,Windows 11 Pro,,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 10,16 GB,Ryzen 5,3.7 GHz,$322.99
MINISFORUM,Windows 11,512 GB,,3.7 GHz,$620.41
TRIGKEY,Support Windows 11、Windows 10 、Linux,,Ryzen 3,3.5 GHz,$299.00
OUBENLO,Windows 10 Home (Windows 11 Upgradable),16 GB,,3.5 GHz,$729.90
Skytech Gaming,Windows 10,16 GB,,3.5 GHz,$999.99
"VISION COMPUTERS, INC.",Windows 10 Pro,16 GB,Ryzen 5 5600G,3.4 GHz,$769.00
TRIGKEY,"Linux, Windows 10 Pro, Windows 11",16 GB,,3.4 GHz,$399.00
COOFUN,Windows 11 Pro,32 GB,,3.4 GHz,$764.99
KAMRUI,Windows 11 Pro,16 GB,,3.4 GHz,$389.99
Beelink,Windows 11,16 GB,AMD R Series,3 GHz,$348.99
Skytech Gaming,Windows 10,16 GB,,3 GHz,$999.99
KAMRUI,Windows 11 Pro,,Ryzen 5 3500U,3.7 GHz,$399.99
Beelink,Windows 11 Pro,,Ryzen 3 3200U,2 GHz,$299.00
COOFUN,Windows 10,32 GB,Ryzen 9,4.4 GHz,$609.99
Beelink,Windows 11 Pro,32 GB,,4.4 GHz,$849.00
COOFUN,Windows 11 Pro,16 GB,Ryzen 5,4.3 GHz,$549.99
COOFUN,Windows 11 Pro,,AMD Ryzen 7,4.6 GHz,$764.99
OUBENLO,Windows 11 Pro,16 GB,Ryzen 9,4.6 GHz,$729.90
ASRock,Windows 10,,Ryzen 7 4800U,1.8 GHz,$589.74
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$134.98
Beelink,Windows 11 Pro,16 GB,Ryzen 7 4800U,4.2 GHz,$499.00
HP,Windows 10 Pro,8 GB,,4.2 GHz,$799.00
Beelink,Windows 11 Pro,16 GB,,4.2 GHz,$449.00
HP,Windows 10 Pro,,AMD A Series,2.8 GHz,$112.98
AVGPC,Windows 10,16 GB,Ryzen 7,4.8 GHz,$699.00
KINGDEL,Windows 11 Pro,16 GB,,4.8 GHz,$879.00
HP,Windows 10 Pro,,AMD R Series,3.2 GHz,0
KODLIX,Windows 10,16 GB,AMD R Series,2.1 GHz,$499.90
ASUS,Windows 10,,Ryzen 3 4300U,1,$395.14
COOFUN,Windows 10,,Ryzen 9,4.4 GHz,$609.99
CHUWI,"Linux, Ubantu, Windows 10 Home, Windows 11",8 GB,,4.4 GHz,$399.00
